IPC_Section,IPC_Heading,BNS_Section,BNS_Heading
1,Title and extent of operation of the Code,1,"Short title, commencement and application"
2,Punishment of offences committed within India,1(3),"Short title, commencement and application"
3,"Punishment of offences committed beyond, but which by law may be tried within, India",1(4),"Short title, commencement and application"
4,Extension of Code to extraterritorial offences,1(5),"Short title, commencement and application"
5,Certain laws not to be affected by this Act,1(6),"Short title, commencement and application"
6,Definitions in the Code to be understood subject to exceptions,3,General explanations
7,Sense of expression once explained,Repealed in BNS,Repealed in BNS
8,Gender,2(10),“Gender”
9,Number,2(22),“Number”
10,"“Man”, “Woman”",2(19),“Man”
11,“Person”,2(35),“Woman”
12,“Public”,2(26),“Person”
13,Repealed,2(27),“Public”
14,“Servant of Government”,2(28),“Public servant”
15,Repealed,Repealed in BNS,Repealed in BNS
16,Repealed,Repealed in BNS,Repealed in BNS
17,“Government”,2(12),“Government”
18,“India”,Repealed in BNS,Repealed in BNS
19,“Judge”,2(16),“Judge”
20,“Court of Justice”,2(5),“Court”
21,“Public servant”,2(28),“Public servant”
22,“Movable property”,2(21),“Movable property”
23,“Wrongful gain”,Repealed in BNS,Repealed in BNS
24,Dishonesty,2(7),Dishonesty
25,“Fraudulently”,2(9),“Fraudulently”
26,“Reason to believe”,2(29),“Reason to believe”
27,"Property in possession of wife, clerk or servant",Repealed in BNS,Repealed in BNS
28,“Counterfeit”,2(4),“Counterfeit”
29,“Document”,2(8),“Document”
29A,“Electronic record”,2(39),Definitions
30,“Valuable security”,2(31),“Valuable security”
31,“A will”,2(34),“will”
32,Words referring to acts include illegal omissions,2(1),“act”
33,"“Act”, “Omission”",2(1),Definitions
34,Acts done by several persons in furtherance of common intention,3(5),General Explanations
35,When such an act is criminal by reason of its being done with a criminal knowledge or intention,3(6),General Explanations
36,Effect caused partly by act and partly by omission,3(7),General Explanations
37,Cooperation by doing one of several acts constituting an offence,3(8),General Explanations
38,Persons concerned in criminal act may be guilty of different offences,3(9),General Explanations
39,“Voluntarily”,2(33),“Voluntarily”
40,“Offence”,2(24),“Offence”
41,“Special law”,2(30),“Special law”
42,“Local law”,2(18),“Local law”
43,"“Illegal”, “Legally bound to do”",2(15),“Illegal”
48,“Vessel”,2(32),“Vessel”
49,"“Year”, “Month”",2(20),“month” and “year”
50,“Section”,Repealed in BNS,Repealed in BNS
51,“Oath”,2(23),“Oath”
52,“Good faith”,2(11),“good faith”
52A,“Harbour”,2(13),“harbour”
53,Punishments,4,Punishments
53A,Construction of reference to transportation,Repealed in BNS,Repealed in BNS
54,Commutation of sentence of death,5,Commutation of sentence
55,Commutation of sentence of imprisonment for life,5,Commutation of sentence
55A,Definition of “appropriate Government”,5,Explanation to section 5
56,Sentence of Europeans and Americans to penal servitude. Proviso as to sentence for term exceeding ten years but not for life,Repealed in BNS,Repealed in BNS
57,Fractions of terms of punishment,6,Fractions of terms of punishment
58,(Repealed) Offenders sentenced to transportation how dealt with until transported,Repealed in BNS,Repealed in BNS
59,(Repealed) Transportation instead of imprisonment,Repealed in BNS,Repealed in BNS
60,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple,7,Sentence may be (in certain cases of imprisonment) wholly or partly rigorous or simple
61,(Repealed) Sentence of forfeiture of property,Repealed in BNS,Repealed in BNS
62,"(Repealed) Forfeiture of property in respect of offenders punishable with death, transportation or imprisonment",Repealed in BNS,Repealed in BNS
63,Amount of fine,8,"Amount of fine, liability in default of payment of fine, etc."
64,Sentence of imprisonment for nonpayment of fine,8,"Amount of fine, liability in default of payment of fine, etc."
65,"Limit to imprisonment for nonpayment of fine, when imprisonment and fine awardable",8(3),"Amount of fine, liability in default of payment of fine, etc."
66,Description of imprisonment for nonpayment of fine,"8(4), (5)","Amount of fine, liability in default of payment of fine, etc."
67,Imprisonment for nonpayment of fine when offence punishable with fine only,8(5),"Amount of fine, liability in default of payment of fine, etc."
68,Imprisonment to terminate on payment of fine,8(6),"Amount of fine, liability in default of payment of fine, etc."
69,Termination of imprisonment on payment of proportional part of fine,8(6),"Amount of fine, liability in default of payment of fine, etc."
70,"Fine leviable within six years, or during imprisonment – Death not to discharge property from liability",8(7),"Amount of fine, liability in default of payment of fine, etc."
71,Limit of punishment of offence made up of several offences,9,Limit of punishment of offence made up of several offences
72,"Punishment of person guilty of one of several offences, the judgment stating that it is doubtful of which",10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which"
73,Solitary confinement,11,Solitary confinement
74,Limit of solitary confinement,12,Limit of solitary confinement
75,Enhanced punishment for certain offences under Chapter XII or Chapter XVII after previous conviction,13,Enhanced punishment for certain offences after previous conviction
76,"Act done by a person bound, or by mistake of fact believing himself bound, by law",14,"Act done by a person bound, or by mistake of fact believing himself bound, by law"
77,Act of Judge when acting judicially,15,Act of Judge when acting judicially
78,Act done pursuant to the judgment or order of Court,16,Act done pursuant to judgment or order of Court
